Time_ms,Neuron_membrane_potential_mV
8.08,-68.92100274
8.09,-68.91129316
8.1,-68.90156882
8.11,-68.89182979
8.12,-68.8820761
8.13,-68.8723078
8.14,-68.86252494
8.15,-68.85272758
8.16,-68.84291575
8.17,-68.83308951
8.18,-68.82324891
8.19,-68.813394
8.2,-68.80352483
8.21,-68.79364144
8.22,-68.78374389
8.23,-68.77383224
8.24,-68.76390652
8.25,-68.7539668
8.26,-68.74401312
8.27,-68.73404553
8.28,-68.72406409
8.29,-68.71406885
8.3,-68.70405986
8.31,-68.69403717
8.32,-68.68400083
8.33,-68.67395091
8.34,-68.66388745
8.35,-68.6538105
8.36,-68.64372012
8.37,-68.63361636
8.38,-68.62349928
8.39,-68.61336893
8.4,-68.60322536
8.41,-68.59306863
8.42,-68.5828988
8.43,-68.57271591
8.44,-68.56252002
8.45,-68.5523112
8.46,-68.54208949
8.47,-68.53185495
8.48,-68.52160763
8.49,-68.5113476
8.5,-68.5010749
8.51,-68.4907896
8.52,-68.48049175
8.53,-68.47018141
8.54,-68.45985863
8.55,-68.44952347
8.56,-68.43917599
8.57,-68.42881625
8.58,-68.41844431
8.59,-68.40806021
8.6,-68.39766402
8.61,-68.38725581
8.62,-68.37683561
8.63,-68.36640351
8.64,-68.35595954
8.65,-68.34550378
8.66,-68.33503628
8.67,-68.3245571
8.68,-68.3140663
8.69,-68.30356394
8.7,-68.29305008
8.71,-68.28252477
8.72,-68.27198809
8.73,-68.26144008
8.74,-68.25088081
8.75,-68.24031034
8.76,-68.22972873
8.77,-68.21913604
8.78,-68.20853233
8.79,-68.19791766
8.8,-68.18729209
8.81,-68.17665569
8.82,-68.16600851
8.83,-68.15535062
8.84,-68.14468207
8.85,-68.13400294
8.86,-68.12331328
8.87,-68.11261315
8.88,-68.10190262
8.89,-68.09118174
8.9,-68.08045058
8.91,-68.06970921
8.92,-68.05895768
8.93,-68.04819606
8.94,-68.03742441
8.95,-68.0266428
8.96,-68.01585127
8.97,-68.00504991
8.98,-67.99423878
8.99,-67.98341792
9,-67.97258742
9.01,-67.96174733
9.02,-67.95089772
9.03,-67.94003864
9.04,-67.92917017
9.05,-67.91829237
9.06,-67.9074053
9.07,-67.89650903
9.08,-67.88560362
9.09,-67.87468913
9.1,-67.86376563
9.11,-67.85283318
9.12,-67.84189185
9.13,-67.83094171
9.14,-67.81998281
9.15,-67.80901522
9.16,-67.79803901
9.17,-67.78705425
9.18,-67.77606098
9.19,-67.7650593
9.2,-67.75404924
9.21,-67.74303089
9.22,-67.73200431
9.23,-67.72096956
9.24,-67.70992671
9.25,-67.69887582
9.26,-67.68781696
9.27,-67.6767502
9.28,-67.66567559
9.29,-67.65459322
9.3,-67.64350313
9.31,-67.6324054
9.32,-67.6213001
9.33,-67.61018728
9.34,-67.59906702
9.35,-67.58793938
9.36,-67.57680443
9.37,-67.56566224
9.38,-67.55451286
9.39,-67.54335636
9.4,-67.53219282
9.41,-67.5210223
9.42,-67.50984486
9.43,-67.49866057
9.44,-67.4874695
9.45,-67.47627172
9.46,-67.46506728
9.47,-67.45385625
9.48,-67.44263872
9.49,-67.43141472
9.5,-67.42018435
9.51,-67.40894765
9.52,-67.39770471
9.53,-67.38645558
9.54,-67.37520033
9.55,-67.36393903
9.56,-67.35267174
9.57,-67.34139853
9.58,-67.33011947
9.59,-67.31883463
9.6,-67.30754407
9.61,-67.29624785
9.62,-67.28494605
9.63,-67.27363872
9.64,-67.26232595
9.65,-67.25100778
9.66,-67.2396843
9.67,-67.22835557
9.68,-67.21702164
9.69,-67.2056826
9.7,-67.1943385
9.71,-67.18298942
9.72,-67.17163541
9.73,-67.16027656
9.74,-67.14891291
9.75,-67.13754454
9.76,-67.12617152
9.77,-67.11479391
9.78,-67.10341177
9.79,-67.09202518
9.8,-67.0806342
9.81,-67.0692389
9.82,-67.05783934
9.83,-67.04643559
9.84,-67.03502772
9.85,-67.02361578
9.86,-67.01219986
9.87,-67.00078001
9.88,-66.9893563
9.89,-66.97792879
9.9,-66.96649756
9.91,-66.95506266
9.92,-66.94362417
9.93,-66.93218215
9.94,-66.92073666
9.95,-66.90928778
9.96,-66.89783556
9.97,-66.88638008
9.98,-66.87492139
9.99,-66.86345957
10,-66.85199467
10.01,-66.84052677
10.02,-66.82905593
10.03,-66.81758222
10.04,-66.8061057
10.05,-66.79462643
10.06,-66.78314448
10.07,-66.77165992
