Time(ms),WT_avg_1050,WT+sem_1050,WT-sem_1050,P_avg_1050,P+sem_1050,P-sem_1050,EPN_avg_1050,EPN+sem_1050,EPN-sem_1050,Time_ms,WT_avg_10ms,WT+sem_10ms,WT-sem_10ms,P_avg_10ms,P+sem_10ms,P-sem_10ms,EPN_avg_10ms,EPN+sem_10ms,EPN-sem_10ms,Time_ms,WT_avg_dVdt,WT+sem_dVdt,WT-sem_dVdt,P_avg_dVdt,P+sem_dVdt,P-sem_dVdt,EPN_avg_dVdt,EPN+sem_dVdt,EPN-sem_dVdt,WT_RMP_mV,P_RMP_mV,EPN_RMP_mV,WT_Overshoot_mV,P_Overshoot_mV,EPN_Overshoot_mV,WT_Amplitude_mV,P_Amplitude_mV,EPN_Amplitude_mV,WT_APD_10-50_ms,P_APD_10-50_ms,EPN_APD_10-50_ms,WT_dVdtmax_V_per_s,P_dVdtmax_V_per_s,EPN_dVdtmax_V_per_s,WT_dVdtmin_V_per_s,P_dVdtmin_V_per_s,EPN_dVdtmin_V_per_s,WT_refractory_period,P_refractory_period,EPN_refractory_period
0.8,22.92805979,26.37187386,19.48424572,17.93626255,22.29178461,13.5807405,14.78469677,19.4131068,10.15628674,0.8,-44.38549296,-41.1885745,-47.58241142,-46.9892576,-40.49546516,-53.48305004,-46.98860302,-40.27663525,-53.70057079,0.8,146.6548615,164.5267785,128.7829444,142.5325555,159.328054,125.7370569,106.7745522,120.3220972,93.22700713,,,,,,,,,,,,,,,,,,,,,
0.82,22.41943349,25.94948593,18.88938105,17.15636889,21.90396941,12.40876837,14.14382763,19.02826653,9.259388726,0.82,-41.23200989,-37.77480286,-44.68921692,-44.34440062,-37.54718856,-51.14161267,-45.3406538,-38.66163715,-52.01967045,0.82,159.5071835,177.766807,141.24756,149.8679962,165.2825139,134.4534786,111.8379581,127.3238943,96.35202197,,,,,,,,,,,,,,,,,,,,,
0.84,21.40218088,24.59778352,18.20657824,16.3425667,21.4213074,11.263826,14.02175741,19.14265811,8.90085671,0.84,-37.63771735,-33.71765878,-41.55777593,-41.76736069,-34.9701375,-48.56458388,-42.77717724,-36.04490214,-49.50945233,0.84,171.3410475,189.1310771,153.5510179,157.3680742,173.243046,141.4931024,124.1758682,138.8523924,109.499344,,,,,,,,,,,,,,,,,,,,,
0.86,20.14756936,23.42523284,16.86990589,15.29140568,20.66672937,9.91608199,18.11651431,20.43155755,15.80147107,0.86,-34.3825086,-30.30707326,-38.45794393,-38.68169461,-31.70508177,-45.65830746,-39.90852489,-33.40897192,-46.40807787,0.86,181.8268526,198.3919847,165.2617205,168.2880868,185.4534103,151.1227632,138.4541679,151.8289753,125.0793606,,,,,,,,,,,,,,,,,,,,,
0.88,19.43549244,22.74666524,16.12431963,14.44369515,20.16256982,8.724820471,17.2688037,19.72029509,14.81731232,0.88,-30.27958955,-26.08745972,-34.47171938,-35.15521892,-27.97383149,-42.33660635,-36.76521416,-30.25646144,-43.27396688,0.88,191.2789663,206.8196244,175.7383081,179.3047799,197.3666762,161.2428836,146.9757545,160.7086596,133.2428495,,,,,,,,,,,,,,,,,,,,,
0.9,18.51996517,21.62847727,15.41145307,13.39253413,19.42560569,7.359462567,16.4210933,18.73367427,14.10851234,0.9,-26.38012123,-21.9100208,-30.85022167,-31.66265154,-24.4542545,-38.87104857,-33.89656181,-27.53640463,-40.256719,0.9,198.3406559,213.7381544,182.9431573,187.8478987,207.8953111,167.8004863,151.1255135,166.1708952,136.0801317,,,,,,,,,,,,,,,,,,,,,
0.92,17.02799461,20.18173472,13.8742545,17.6377438,21.69410241,13.58138519,15.70901648,18.00498814,13.41304482,0.92,-22.75192049,-18.20287033,-27.30097064,-27.86490897,-20.58937226,-35.14044569,-30.96687436,-24.69230909,-37.24143963,0.92,203.8009847,220.0732094,187.52876,198.0062595,221.7796154,174.2329036,158.193544,175.668551,140.718537,,,,,,,,,,,,,,,,,,,,,
0.94,15.80729148,19.05500552,12.55957744,16.53148159,20.89526637,12.16769682,14.8952144,17.29659938,12.49382942,0.94,-18.34382576,-13.80793255,-22.87971898,-23.59244802,-16.585564,-30.59933204,-27.54890561,-21.66248171,-33.43532951,0.94,208.5972663,226.7027411,190.4917915,211.6066267,238.8814352,184.3318182,169.5899773,189.39157,149.7883845,,,,,,,,,,,,,,,,,,,,,
0.96,14.48486299,17.58394866,11.38577732,15.38707244,20.11561554,10.65852935,14.18313773,16.92408712,11.44218835,0.96,-13.80009757,-9.263259149,-18.33693599,-18.6418186,-11.64140748,-25.64222972,-23.82576127,-18.15086976,-29.50065278,0.96,210.9304377,231.1788358,190.6820396,221.9906396,251.0215709,192.9597082,179.1910793,199.9517121,158.4304465,,,,,,,,,,,,,,,,,,,,,
0.98,12.99289253,16.19761068,9.788174385,14.24266326,19.31099667,9.174329861,13.13197666,15.88768121,10.3762721,0.98,-9.968446202,-5.514748569,-14.42214383,-13.86073136,-7.148409508,-20.57305321,-20.04158186,-14.58664336,-25.49652035,0.98,209.9396812,232.1456154,187.7337469,222.0764787,252.9997425,191.153215,183.2367146,203.9839664,162.4894627,,,,,,,,,,,,,,,,,,,,,
